,Year 1,,,,,,,,Year 2,,,,,,,,Year 3,,,,,,,
Beha'alotcha,Numbers 8:1-8:4,Numbers 8:5-8:9,Numbers 8:10-8:14,Numbers 8:15-8:22,Numbers 8:23-8:26,Numbers 9:1-9:8,Numbers 9:9-9:14,Numbers 9:12-9:14,Numbers 9:15-9:18,Numbers 9:19-9:23,Numbers 10:1-10:7,Numbers 10:8-10:10,Numbers 10:11-10:20,Numbers 10:21-10:28,Numbers 10:29-10:34,Numbers 10:32-10:34,Numbers 10:35-11:9,Numbers 11:10-11:18,Numbers 11:19-11:22,Numbers 11:23-11:29,Numbers 11:30-11:35,Numbers 12:1-12:13,Numbers 12:14-12:16,Numbers 12:14-12:16
Sh'lach,Numbers 13:1-13:3,Numbers 13:4-13:16,Numbers 13:17-13:20,Numbers 13:21-13:24,Numbers 13:25-13:30,Numbers 13:31-13:33,Numbers 14:1-14:7,Numbers 14:5-14:7,Numbers 14:8-14:10,Numbers 14:11-14:20,Numbers 14:21-14:25,Numbers 14:26-14:38,Numbers 14:39-14:42,Numbers 14:43-15:3,Numbers 15:4-15:7,Numbers 15:4-15:7,Numbers 15:8-15:10,Numbers 15:11-15:16,Numbers 15:17-15:21,Numbers 15:22-15:26,Numbers 15:27-15:31,Numbers 25:32-15:36,Numbers 15:37-15:41,Numbers 15:37-15:41
Korach,Numbers 16:1-16:3,Numbers 16:4-16:7,Numbers 16:8-16:13,Numbers 16:14-16:19,Numbers 16:20-16:35,Numbers 17:1-17:8,Numbers 17:9-17:15,Numbers 17:9-17:15,Numbers 16:20-16:27,Numbers 16:28-16:35,Numbers 17:1-17:5,Numbers 17:6-17:8,Numbers 17:9-17:15,Numbers 17:16-17:20,Numbers 17:21-17:24,Numbers 17:21-17:24,Numbers 17:25-18:7,Numbers 18:8-18:10,Numbers 18:11-18:13,Numbers 18:14-18:20,Numbers 18:21-18:24,Numbers 18:25-18:29,Numbers 18:30-18:32,Numbers 18:30-18:32
Chukat,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
Balak,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
Pinchas,Numbers 25:10-25:12,Numbers 25:13-25:15,Numbers 25:16-26:4,Numbers 26:5-26:11,Numbers 26:12-26:22,Numbers 26:23-26:34,Numbers 26:35-26:51,Numbers 26:48-26:51,Numbers 26:52-26:56,Numbers 26:57-26:62,Numbers 26:63-27:5,Numbers 27:6-27:14,Numbers 27:15-27:23,Numbers 28:1-28:10,Numbers 28:11-28:15,Numbers 28:11-28:15,Numbers 28:16-28:25,Numbers 28:26-28:31,Numbers 29:1-29:6,Numbers 29:7-29:11,Numbers 29:12-29:16,Numbers 29:17-29:28,Numbers 29:29-30:1,Numbers 29:35-30:1
Matot,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
Masei,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
Devarim,Deuteronomy 1:1-1:3,Deuteronomy 1:4-1:7,Deuteronomy 1:8-1:10,Deuteronomy 1:11-1:21,Deuteronomy 1:22-1:28,Deuteronomy 1:29-1:38,Deuteronomy 1:39-2:1,Deuteronomy 1:39-2:1,Deuteronomy 2:2-2:5,Deuteronomy 2:6-2:12,Deuteronomy 2:13-2:16,Deuteronomy 2:17-2:19,Deuteronomy 2:20-2:22,Deuteronomy 2:23-2:25,Deuteronomy 2:26-2:30,Deuteronomy 2:28-2:30,Deuteronomy 2:31-2:34,Deuteronomy 2:35-2:37,Deuteronomy 3:1-3:3,Deuteronomy 3:4-3:7,Deuteronomy 3:8-3:11,Deuteronomy 3:12-3:14,Deuteronomy 3:15-3:22,Deuteronomy 3:20-3:22
Vaetchanan F,Deuteronomy 3:23-3:25,Deuteronomy 3:26-4:4,Deuteronomy 4:5-4:14,Deuteronomy 4:15-4:20,Deuteronomy 4:21-4:40,Deuteronomy 4:41-4:49,deuteronomy 5:1-5:18,Deuteronomy 5:16-5:18,Deuteronomy 5:1-5:18,Deuteronomy 5:19-5:24,Deuteronomy 5:25-5:30,Deuteronomy 6:1-6:3,Deuteronomy 6:4-6:9,Deuteronomy 6:10-6:19,Deuteronomy 6:20-6:25,Deuteronomy 6:23-6:25,Deuteronomy 5:1-5:18,Deuteronomy 5:19-5:24,Deuteronomy 5:25-6:3,Deuteronomy 6:4-6:9,Deuteronomy 6:10-6:19,Deuteronomy 6:20-6:25,Deuteronomy 7:1-7:11,Deuteronomy 7:9-7:11
